,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,contraire
Infinitif,marcher,cheminer,flâner,errer,trotter,filer,courir,avancer,aller,évoluer,reculer
Présent Je,marche,chemine,flâne,erre,trotte,file,cours,avance,vais,évolue,recule
Présent tu,marches,chemines,flânes,erres,trottes,files,cours,avances,vas,évolues,recules
Présent Il, marche,chemine,flâne,erre,trotte,file,court,avance,va,évolue,recule
Présent Nous,marchons,cheminons,flânons,errons,trottons,filons,courons,avançons,allons,évoluons,reculons
Présent Vous,marchez,cheminez,flânez,errez,trottez,filez,courez,avancez,allez,évoluez,reculez
Présent Ils,marchent,cheminent,flânent,errent,trottent,filent,courent,avancent,vont,évoluent,reculent
Imparfait Je,marchais,cheminais,flânais,errais,trottais,filais,courais,avançais,allais,évoluais,reculais
Imparfait Tu,marchais,cheminais,flânais,errais,trottais,filais,courais,avançais,allais,évoluais,reculais
Imparfai Il,marchait,cheminait,flânait,errait,trottait,filait,courait,avançait,allait,évoluait,reculait
Imparfait nous,marchions,cheminions,flânions,errions,trottions,filions,courions,avancions,allions,évoluions,reculions
Imparfait Vous,marchiez,cheminiez,flâniez,erriez,trottiez,filiez,couriez,avanciez,alliez,évoluiez,reculiez
Imparfait Ils,marchaient,cheminaient,flânaient,erraient,trottaient,filaient,couraient,avançaient,allaient,évoluaient,reculaient
Futur Je,marcherai,cheminerai,flânerai,errerai,trotterai,filerai,courrai,avancerai,irai,évoluerai,reculerai
Futur tu,marcheras,chemineras,flâneras,erreras,trotteras,fileras,courras,avanceras,iras,évolueras,reculeras
Futur il,marchera,cheminera,flânera,errera,trottera,filera,courra,avancera,ira,évoluera,reculera
Futur nous,marcherons,cheminerons,flânerons,errerons,trotterons,filerons,courrons,avancerons,irons,évoluerons,reculerons
Futur vous,marcherez,cheminerez,flânerez,errerez,trotterez,filerez,courrez,avancerez,irez,évoluerez,reculerez
Futur ils,marcheront,chemineront,flâneront,erreront,trotteront,fileront,courront,avanceront,iront,évolueront,reculeront
